14;90;;122,9
14;100;;117,06
14;200;;234,12
14;300;;351,19
14;400;;468,25
14;1000;;1,17
14;9999;;1,17
15;1;;46,96
15;10;;52,94
15;20;;58,05
15;30;;64,01
15;40;;70,5
15;50;;81,7
15;60;;95,66
15;70;;105,2
15;80;;116,17
15;90;;122,79
15;100;;116,17
15;200;;232,33
15;300;;348,5
15;400;;464,67
15;1000;;1,16
15;9999;;1,16
16;1;;58,12
16;10;;65,52
16;20;;71,86
16;30;;77,13
16;40;;83,5
16;50;;88,78
16;60;;94,07
16;70;;100,51
16;80;;111,04
16;90;;117,06
16;100;;111,04
16;200;;222,07
16;300;;333,1
16;400;;444,14
16;1000;;1,11
16;9999;;1,11
17;1;;59,52
17;10;;67,09
17;20;;73,58
17;30;;78,99
17;40;;85,48
17;50;;90,9
17;60;;96,32
17;70;;92,1
17;80;;113,61
17;90;;108,19
17;100;;102,14
17;200;;204,29
17;300;;306,43
17;400;;408,59
17;1000;;1,02
17;9999;;1,02
18;1;;48,35
18;10;;54,51
18;20;;59,77
18;30;;64,19
18;40;;69,45
18;50;;73,84
18;60;;78,25
18;70;;74,76
18;80;;92,3
18;90;;87,91
18;100;;83,04
18;200;;166,07
18;300;;249,11
18;400;;332,15
18;1000;;0,83
18;9999;;0,83
19;1;;52,55
19;10;;59,23
19;20;;64,95
19;30;;69,73
19;40;;75,48
19;50;;80,24
19;60;;91,53
19;70;;100,51
19;80;;111,04
19;90;;117,06
19;100;;111,04
19;200;;222,07
19;300;;333,1
19;400;;444,14
19;1000;;1,11
19;9999;;1,11
20;1;;39,43
20;10;;44,46
20;20;;48,75
20;30;;52,34
20;40;;56,65
20;50;;60,22
20;60;;63,8
20;70;;60,24
20;80;;75,27
20;90;;71,7
20;100;;67,68
20;200;;135,37
20;300;;203,05
20;400;;270,74
20;1000;;1,4
20;9999;;1,4
21;1;;44,16
21;10;;49,8
21;20;;54,6
21;30;;58,62
21;40;;63,45
21;50;;67,45
21;60;;71,46
21;70;;67,47
21;80;;84,3
21;90;;80,3
21;100;;75,8
21;200;;151,61
21;300;;227,42
21;400;;303,23
21;1000;;0,76
21;9999;;0,76
22;1;;66,48
22;10;;74,95
22;20;;82,21
22;30;;88,26
22;40;;95,5
22;50;;101,56
22;60;;107,59
22;70;;101,57
22;80;;126,93
22;90;;120,9
22;100;;114,12
22;200;;228,23
22;300;;342,34
22;400;;456,46
22;1000;;1,14
22;9999;;1,14
23;1;;48,35
23;10;;54,51
23;20;;59,77
23;30;;64,19
23;40;;69,45
23;50;;78,01
23;60;;91,53
23;70;;100,51
23;80;;111,04
23;90;;117,06
23;100;;111,04
23;200;;222,07
23;300;;333,1
23;400;;444,14
23;1000;;1,11
23;9999;;1,11
24;1;;58,12
24;10;;65,52
24;20;;71,86
24;30;;77,13
24;40;;83,5
24;50;;88,78
24;60;;94,07
24;70;;100,51
24;80;;111,04
24;90;;117,06
24;100;;111,04
24;200;;222,07
24;300;;333,1
24;400;;444,14
24;1000;;1,11
24;9999;;1,11
25;1;;45,56
25;10;;51,34
25;20;;56,32
25;30;;60,48
25;40;;65,43
25;50;;69,59
25;60;;73,71
25;70;;74,76
25;80;;86,99
25;90;;87,29
25;100;;83,04
25;200;;166,07
25;300;;249,11
25;400;;332,15
25;1000;;0,83
25;9999;;0,83
26;1;;24,64
26;10;;27,75
26;20;;30,44
26;30;;32,69
26;40;;35,38
26;50;;37,61
26;60;;39,86
26;70;;37,63
26;80;;47,02
26;90;;44,78
26;100;;43,27
26;200;;86,53
26;300;;129,8
26;400;;173,06
26;1000;;0,43
26;9999;;0,43
27;1;;60,92
27;10;;68,67
27;20;;75,31
27;30;;80,85
27;40;;87,49
27;50;;93,02
27;60;;98,56
27;70;;97,08
27;80;;116,3
27;90;;110,75
27;100;;104,55
27;200;;209,09
27;300;;313,64
